[3d-nfsd] touchtechpayments.com:2323
[beorl] touchtechpayments.com:5633
[beserver-msg-q] touchtechpayments.com:3527
[bex-xr] touchtechpayments.com:15660
[bfd-control] touchtechpayments.com:3784
[bgmp] touchtechpayments.com:264
[bgpd] touchtechpayments.com:2605
[bgp] touchtechpayments.com:179
[bigbrother] touchtechpayments.com:1984
[biotic] touchtechpayments.com:5087
[bitcoin] touchtechpayments.com:8333
[bittorrent-tracker] touchtechpayments.com:6881
[blackice-alerts] touchtechpayments.com:8082
[blackice-icecap] touchtechpayments.com:8081
[blp3] touchtechpayments.com:8292
[bnetgame] touchtechpayments.com:1119
[boinc] touchtechpayments.com:1043
[bridgecontrol] touchtechpayments.com:1073
[brvread] touchtechpayments.com:1054
[bsquare-voip] touchtechpayments.com:1071
[btrieve] touchtechpayments.com:3351
[btx] touchtechpayments.com:20005
[bvcontrol] touchtechpayments.com:1236
[bvtsonar] touchtechpayments.com:1149
[cadlock] touchtechpayments.com:1000
[caerpc] touchtechpayments.com:42510
[caicci] touchtechpayments.com:1721
[caids-sensor] touchtechpayments.com:1192
[cajo-discovery] touchtechpayments.com:1198
[capioverlan] touchtechpayments.com:1147
[cardax] touchtechpayments.com:1072
[caspssl] touchtechpayments.com:1131
[casp] touchtechpayments.com:1130
[catchpole] touchtechpayments.com:1185
[cba8] touchtechpayments.com:9593
[cbt] touchtechpayments.com:7777
[cce4x] touchtechpayments.com:12000
[ccproxy-ftp] touchtechpayments.com:2121
[ccproxy-http] touchtechpayments.com:808
[cdfunc] touchtechpayments.com:2045
[ceph] touchtechpayments.com:3300
[cgms] touchtechpayments.com:3003
[chargen] touchtechpayments.com:19
[ci3-software-1] touchtechpayments.com:1301
[cisco-aqos] touchtechpayments.com:9081
[cisco-sccp] touchtechpayments.com:2000
[cisco-tdp] touchtechpayments.com:711
[citrix-ica] touchtechpayments.com:1494
[clariion-evr01] touchtechpayments.com:6389
[cmip-man] touchtechpayments.com:163
[cm] touchtechpayments.com:5910
[cnrprotocol] touchtechpayments.com:1096
[cognex-insight] touchtechpayments.com:1069
[coldfusion-auth] touchtechpayments.com:44442
[coldfusion-auth] touchtechpayments.com:44443
[commplex-link] touchtechpayments.com:5001
[compaqdiag] touchtechpayments.com:2301
[compaqdiag] touchtechpayments.com:49400
[compaq-https] touchtechpayments.com:2381
[compressnet] touchtechpayments.com:3
[condor] touchtechpayments.com:9618
[conf] touchtechpayments.com:2008
[connection] touchtechpayments.com:2607
[corba-iiop] touchtechpayments.com:683
[corbaloc] touchtechpayments.com:2809
[cpdlc] touchtechpayments.com:5911
[cplscrambler-al] touchtechpayments.com:1088
[cplscrambler-in] touchtechpayments.com:1087
[cplscrambler-lg] touchtechpayments.com:1086
[csd-mgmt-port] touchtechpayments.com:3071
[cslistener] touchtechpayments.com:9000
[cspmlockmgr] touchtechpayments.com:1272
[ctf] touchtechpayments.com:84
[cvd] touchtechpayments.com:8400
[cvspserver] touchtechpayments.com:2401
[dandv-tester] touchtechpayments.com:3889
[danf-ak2] touchtechpayments.com:1041
[daytime] touchtechpayments.com:13
[dc] touchtechpayments.com:2001
[dcutility] touchtechpayments.com:1044
[ddrepl] touchtechpayments.com:4126
[ddt] touchtechpayments.com:1052
[dec-notes] touchtechpayments.com:3333
[dectalk] touchtechpayments.com:2007
[deslogind] touchtechpayments.com:3006
[deslogin] touchtechpayments.com:2005
[deslogin] touchtechpayments.com:3005
[device2] touchtechpayments.com:2030
[device] touchtechpayments.com:801
[dif-port] touchtechpayments.com:2251
[discard] touchtechpayments.com:9
[disclose] touchtechpayments.com:667
[distinct32] touchtechpayments.com:9998
[dlip] touchtechpayments.com:7201
[dls-monitor] touchtechpayments.com:2048
[dlsrpn] touchtechpayments.com:2065
[dls] touchtechpayments.com:2047
[dmidi] touchtechpayments.com:1199
[dnp] touchtechpayments.com:20000
[dnsix] touchtechpayments.com:90
[dnx] touchtechpayments.com:3998
[doceri-ctl] touchtechpayments.com:7019
[documentum_s] touchtechpayments.com:10003
[documentum] touchtechpayments.com:10002
[domain] touchtechpayments.com:53
[doom] touchtechpayments.com:666
[dossier] touchtechpayments.com:1175
[down] touchtechpayments.com:2022
[dpm] touchtechpayments.com:5718
[dproxy] touchtechpayments.com:1296
[DragonIDSConsole] touchtechpayments.com:9111
[drp] touchtechpayments.com:1974
[dsc] touchtechpayments.com:3390
[dsf] touchtechpayments.com:555
[d-s-n] touchtechpayments.com:8086
[dsp] touchtechpayments.com:33
[d-star] touchtechpayments.com:9011
[dtspc] touchtechpayments.com:6112
[dvs] touchtechpayments.com:481
[dxmessagebase2] touchtechpayments.com:2875
[dxspider] touchtechpayments.com:8873
[dynamid] touchtechpayments.com:9002
[echo] touchtechpayments.com:7
[edonkey] touchtechpayments.com:4662
[eklogin] touchtechpayments.com:2105
[ekshell] touchtechpayments.com:2106
[ekshell] touchtechpayments.com:545
[elfiq-repl] touchtechpayments.com:1148
[Elite] touchtechpayments.com:31337
[elm-momentum] touchtechpayments.com:1914
[emcads] touchtechpayments.com:3945
[emcrmirccd] touchtechpayments.com:10004
[encrypted_admin] touchtechpayments.com:1138
[enl-name] touchtechpayments.com:1805
[enpp] touchtechpayments.com:2968
[eppc] touchtechpayments.com:3031
[epp] touchtechpayments.com:700
[esl-lm] touchtechpayments.com:1455
[esp] touchtechpayments.com:6567
[esro-gen] touchtechpayments.com:259
[etebac5] touchtechpayments.com:1216
[EtherNetIP-1] touchtechpayments.com:2222
[event_listener] touchtechpayments.com:3017
[ewall] touchtechpayments.com:1328
[exasoftport1] touchtechpayments.com:3920
[excw] touchtechpayments.com:1271
[exec] touchtechpayments.com:512
[exp1] touchtechpayments.com:1021
[exp2] touchtechpayments.com:1022
[eyetv] touchtechpayments.com:2170
[ff-annunc] touchtechpayments.com:1089
[ff-fms] touchtechpayments.com:1090
[ff-sm] touchtechpayments.com:1091
[filemaker] touchtechpayments.com:5003
[filenet-rpc] touchtechpayments.com:32769
[filenet-tms] touchtechpayments.com:32768
[finger] touchtechpayments.com:2003
[finger] touchtechpayments.com:79
[fj-hdnet] touchtechpayments.com:1717
[flexlm0] touchtechpayments.com:27000
[fmpro-fdal] touchtechpayments.com:2399
[fmsascon] touchtechpayments.com:16001
[fmsas] touchtechpayments.com:16000
[fmtp] touchtechpayments.com:8500
[fnet-remote-ui] touchtechpayments.com:1174
[fodms] touchtechpayments.com:7200
[font-service] touchtechpayments.com:7100
[fotogcad] touchtechpayments.com:3878
[fpitp] touchtechpayments.com:1045
[fpo-fns] touchtechpayments.com:1066
[freeciv] touchtechpayments.com:5555
[fs-agent] touchtechpayments.com:8042
[ftp-data] touchtechpayments.com:20
[ftp-proxy] touchtechpayments.com:8021
[ftps] touchtechpayments.com:990
[ftp] touchtechpayments.com:21
[ftranhc] touchtechpayments.com:1105
[funk-dialout] touchtechpayments.com:2909
[fw1-secureremote] touchtechpayments.com:256
[garcon] touchtechpayments.com:999
[gds-adppiw-db] touchtechpayments.com:4550
[gilatskysurfer] touchtechpayments.com:3013
[git] touchtechpayments.com:9418
[globalcatLDAPssl] touchtechpayments.com:3269
[globalcatLDAP] touchtechpayments.com:3268
[globe] touchtechpayments.com:2002
[glogger] touchtechpayments.com:2033
[glrpc] touchtechpayments.com:9080
[gmrupdateserv] touchtechpayments.com:1070
[gnutella] touchtechpayments.com:6346
[gopher] touchtechpayments.com:70
[gris] touchtechpayments.com:2135
[groove] touchtechpayments.com:2492
[gsiftp] touchtechpayments.com:2811
[gsigatekeeper] touchtechpayments.com:2119
[h2250-annex-g] touchtechpayments.com:2099
[h323gatedisc] touchtechpayments.com:1718
[h323gatestat] touchtechpayments.com:1719
[h323hostcallsc] touchtechpayments.com:1300
[h323q931] touchtechpayments.com:1720
[hermes] touchtechpayments.com:1248
[hfcs] touchtechpayments.com:4900
[hosts2-ns] touchtechpayments.com:81
[hotline] touchtechpayments.com:1234
[hotline] touchtechpayments.com:5500
[hp-hcip] touchtechpayments.com:1782
[hp-server] touchtechpayments.com:5225
[hpss-ndapi] touchtechpayments.com:1217
[hp-status] touchtechpayments.com:5226
[hpvmmcontrol] touchtechpayments.com:1124
[hpvmmdata] touchtechpayments.com:1126
[http-alt] touchtechpayments.com:8000
[http] calendar.touchtechpayments.com:80
[http] mail.touchtechpayments.com:80
[http-mgmt] touchtechpayments.com:280
[http-proxy] touchtechpayments.com:8080
[http-rpc-epmap] touchtechpayments.com:593
[https-alt] touchtechpayments.com:8443
[https] calendar.touchtechpayments.com:443
[https] idcheck.acs.touchtechpayments.com:443
[https] macs.dev.touchtechpayments.com:443
[https] macs.staging.touchtechpayments.com:443
[https] macs.touchtechpayments.com:443
[https] mail.touchtechpayments.com:443
[https] n26-ice.dev.touchtechpayments.com:443
[https] poll.staging.touchtechpayments.com:443
[https] poll.touchtechpayments.com:443
[https] retry.touchtechpayments.com:443
[https] revolut-ice.staging.touchtechpayments.com:443
[https] sandbox.acs.touchtechpayments.com:443
[https] start.touchtechpayments.com:443
[http] start.touchtechpayments.com:80
[https] touchtechpayments.com:443
[https] verifiedbyvisa.acs.touchtechpayments.com:443
[http] touchtechpayments.com:80
[http] touchtechpayments.com:8008
[husky] touchtechpayments.com:1310
[hydap] touchtechpayments.com:15000
[iad1] touchtechpayments.com:1030
[iad2] touchtechpayments.com:1031
[iad3] touchtechpayments.com:1032
[ibm-db2-admin] touchtechpayments.com:6789
[ibm-db2] touchtechpayments.com:50000
[ibm-mgr] touchtechpayments.com:3801
[ibm_wrless_lan] touchtechpayments.com:1461
[icad-el] touchtechpayments.com:425
[ici] touchtechpayments.com:2200
[icslap] touchtechpayments.com:2869
[ida-agent] touchtechpayments.com:5051
[ident] touchtechpayments.com:113
[ies-lm] touchtechpayments.com:1443
[igrs] touchtechpayments.com:3880
[iiimsf] touchtechpayments.com:50002
[IIS] touchtechpayments.com:1027
[imaps] touchtechpayments.com:993
[imap] touchtechpayments.com:143
[imgames] touchtechpayments.com:1077
[imqbrokerd] touchtechpayments.com:7676
[imsldoc] touchtechpayments.com:2035
[imsp] touchtechpayments.com:406
[imtc-mcs] touchtechpayments.com:1503
[indy] touchtechpayments.com:5963
[ingreslock] touchtechpayments.com:1524
[instl_bootc] touchtechpayments.com:1068
[instl_boots] touchtechpayments.com:1067
[interbase] touchtechpayments.com:2041
[intermapper] touchtechpayments.com:8181
[intersys-cache] touchtechpayments.com:1972
[interwise] touchtechpayments.com:7778
[invision] touchtechpayments.com:1641
[invokator] touchtechpayments.com:2006
[iphone-sync] touchtechpayments.com:62078
[ipp] touchtechpayments.com:631
[ipulse-ics] touchtechpayments.com:20222
[irc] touchtechpayments.com:6666
[irc] touchtechpayments.com:6667
[irc] touchtechpayments.com:6668
[irc] touchtechpayments.com:6669
[irdmi2] touchtechpayments.com:7999
[iris-xpcs] touchtechpayments.com:714
[isakmp] touchtechpayments.com:500
[isbconference1] touchtechpayments.com:1244
[iscsi] touchtechpayments.com:3260
[isdninfo] touchtechpayments.com:6106
[isis-bcast] touchtechpayments.com:2043
[isis] touchtechpayments.com:2042
[ismserver] touchtechpayments.com:9500
[isoipsigport-1] touchtechpayments.com:1106
[isoipsigport-2] touchtechpayments.com:1107
[iso-tp0] touchtechpayments.com:146
[isqlplus] touchtechpayments.com:5560
[iss-console-mgr] touchtechpayments.com:903
[issd] touchtechpayments.com:1600
[iss-mgmt-ssl] touchtechpayments.com:3995
[iss-realsec] touchtechpayments.com:2998
[iss-realsecure] touchtechpayments.com:902
[iua] touchtechpayments.com:9900
[java-or-OTGfileshare] touchtechpayments.com:1050
[jetdirect] touchtechpayments.com:9100
[jetdirect] touchtechpayments.com:9101
[jetdirect] touchtechpayments.com:9102
[jetdirect] touchtechpayments.com:9103
[jetstream] touchtechpayments.com:6901
[jstel] touchtechpayments.com:1064
[jtag-server] touchtechpayments.com:1309
[jtnetd-server] touchtechpayments.com:5033
[kca-service] touchtechpayments.com:9878
[kdm] touchtechpayments.com:1024
[kerberos-adm] touchtechpayments.com:749
[kerberos-sec] touchtechpayments.com:88
[keyshadow] touchtechpayments.com:19315
[keysrvr] touchtechpayments.com:19283
[kiosk] touchtechpayments.com:1061
[klogin] touchtechpayments.com:543
[kpasswd5] touchtechpayments.com:464
[krb524] touchtechpayments.com:4444
[kshell] touchtechpayments.com:544
[kvm-via-ip] touchtechpayments.com:1132
[kx] touchtechpayments.com:2111
[kyoceranetdev] touchtechpayments.com:1063
[lam] touchtechpayments.com:2040
[landesk-cba] touchtechpayments.com:38292
[landesk-rc] touchtechpayments.com:1761
[lanrevserver] touchtechpayments.com:3971
[ldapssl] touchtechpayments.com:636
[ldap] touchtechpayments.com:389
[ldp] touchtechpayments.com:646
[lgtomapper] touchtechpayments.com:7938
[listcrt-port-2] touchtechpayments.com:3914
[llsurfup-http] touchtechpayments.com:1183
[lmsocialserver] touchtechpayments.com:1111
[lockd] touchtechpayments.com:4045
[locus-map] touchtechpayments.com:125
[login] touchtechpayments.com:513
[lotusmtap] touchtechpayments.com:3007
[lotusnotes] touchtechpayments.com:1352
[LSA-or-nterm] touchtechpayments.com:1026
[ltp-deepspace] touchtechpayments.com:1113
[lv-ffx] touchtechpayments.com:2144
[m2mservices] touchtechpayments.com:8383
[mailbox] touchtechpayments.com:2004
[man] touchtechpayments.com:9535
[mapper-ws_ethd] touchtechpayments.com:3986
[maybe-veritas] touchtechpayments.com:4998
[mcer-port] touchtechpayments.com:6510
[mctp] touchtechpayments.com:1100
[mdbs_daemon] touchtechpayments.com:800
[mecomm] touchtechpayments.com:668
[metagram] touchtechpayments.com:99
[microsoft-ds] touchtechpayments.com:445
[mini-sql] touchtechpayments.com:1114
[mit-ml-dev] touchtechpayments.com:83
[mit-ml-dev] touchtechpayments.com:85
[miva-mqs] touchtechpayments.com:1277
[mlchat-proxy] touchtechpayments.com:4002
[mmcc] touchtechpayments.com:5050
[monkeycom] touchtechpayments.com:9898
[mpc-lifenet] touchtechpayments.com:1213
[mps-raft] touchtechpayments.com:1700
[msdtc] touchtechpayments.com:3372
[msgsys] touchtechpayments.com:9594
[ms-lsa] touchtechpayments.com:1029
[msmq-mgmt] touchtechpayments.com:2107
[msmq] touchtechpayments.com:1801
[msnp] touchtechpayments.com:1863
[ms-olap1] touchtechpayments.com:2393
[ms-olap2] touchtechpayments.com:2394
[ms-olap3] touchtechpayments.com:2382
[ms-olap4] touchtechpayments.com:2383
[msolap-ptp2] touchtechpayments.com:2725
[msql] touchtechpayments.com:1112
[msrpc] touchtechpayments.com:135
[ms-sql-m] touchtechpayments.com:1434
[ms-sql-s] touchtechpayments.com:1433
[ms-v-worlds] touchtechpayments.com:2525
[ms-wbt-server] touchtechpayments.com:3389
[mtqp] touchtechpayments.com:1038
[multidropper] touchtechpayments.com:1035
[multiling-http] touchtechpayments.com:777
[mupdate] touchtechpayments.com:3905
[murray] touchtechpayments.com:1123
[mxomss] touchtechpayments.com:1141
[mysql-cluster] touchtechpayments.com:1186
[mysql-cm-agent] touchtechpayments.com:1862
[mysql] touchtechpayments.com:3306
[mythtv] touchtechpayments.com:6543
[n1-fwp] touchtechpayments.com:4446
[nameserver] touchtechpayments.com:42
[napster] touchtechpayments.com:6699
[nati-svrloc] touchtechpayments.com:3580
[ncd-conf] touchtechpayments.com:5999
[ncd-diag] touchtechpayments.com:5998
[ncp] touchtechpayments.com:524
[ndmps] touchtechpayments.com:30000
[neod1] touchtechpayments.com:1047
[neod2] touchtechpayments.com:1048
[nessus] touchtechpayments.com:3001
[netassistant] touchtechpayments.com:3283
[netbackup] touchtechpayments.com:13722
[netbackup] touchtechpayments.com:13782
[netbackup] touchtechpayments.com:13783
[netbios-ssn] touchtechpayments.com:139
[netbus] touchtechpayments.com:12345
[neteh] touchtechpayments.com:3828
[netinfo] touchtechpayments.com:1033
[netml] touchtechpayments.com:2288
[netmpi] touchtechpayments.com:3827
[neto-dcs] touchtechpayments.com:3814
[netopia-vo1] touchtechpayments.com:1839
[netopia-vo2] touchtechpayments.com:1840
[netop-rc] touchtechpayments.com:6502
[netop-school] touchtechpayments.com:1971
[netsaint] touchtechpayments.com:1040
[netvenuechat] touchtechpayments.com:1023
[netview-aix-6] touchtechpayments.com:1666
[newacct] touchtechpayments.com:100
[newoak] touchtechpayments.com:4001
[news] touchtechpayments.com:144
[news] touchtechpayments.com:2009
[nfsd-status] touchtechpayments.com:1110
[NFS-or-IIS] touchtechpayments.com:1025
[nfs] touchtechpayments.com:2049
[nicelink] touchtechpayments.com:1095
[nicetec-mgmt] touchtechpayments.com:2557
[nimreg] touchtechpayments.com:1059
[nim] touchtechpayments.com:1058
[nntp] touchtechpayments.com:119
[novation] touchtechpayments.com:1322
[nping-echo] touchtechpayments.com:9929
[nppmp] touchtechpayments.com:3476
[nrpe] touchtechpayments.com:5666
[nsjtp-ctrl] touchtechpayments.com:1687
[nsjtp-data] touchtechpayments.com:1688
[nsrexecd] touchtechpayments.com:7937
[nsstp] touchtechpayments.com:1036
[nuauth] touchtechpayments.com:4129
[nucleus-sand] touchtechpayments.com:1201
[nut] touchtechpayments.com:3493
[oa-system] touchtechpayments.com:8022
[objectmanager] touchtechpayments.com:2038
[obrpd] touchtechpayments.com:1092
[odmr] touchtechpayments.com:366
[omginitialrefs] touchtechpayments.com:900
[onep-tls] touchtechpayments.com:15002
[onmux] touchtechpayments.com:417
[onscreen] touchtechpayments.com:5080
[opennl-voice] touchtechpayments.com:1259
[opsmessaging] touchtechpayments.com:8090
[optima-vnet] touchtechpayments.com:1051
[oracleas-https] touchtechpayments.com:7443
[oracle] touchtechpayments.com:1521
[orbix-loc-ssl] touchtechpayments.com:3077
[ospfd] touchtechpayments.com:2604
[ospf-lite] touchtechpayments.com:8899
[osxwebadmin] touchtechpayments.com:16080
[ovsam-mgmt] touchtechpayments.com:3869
[paradym-31] touchtechpayments.com:1864
[park-agent] touchtechpayments.com:5431
[parsec-master] touchtechpayments.com:6580
[pcanywheredata] touchtechpayments.com:5631
[pcduo] touchtechpayments.com:5405
[pds] touchtechpayments.com:9595
[pharos] touchtechpayments.com:4443
[pichat] touchtechpayments.com:9009
[pktcable-cops] touchtechpayments.com:2126
[pktcablemmcops] touchtechpayments.com:3918
[pn-requester2] touchtechpayments.com:2718
[pn-requester] touchtechpayments.com:2717
[polestar] touchtechpayments.com:1060
[pop2] touchtechpayments.com:109
[pop3pw] touchtechpayments.com:106
[pop3s] touchtechpayments.com:995
[pop3] touchtechpayments.com:110
[postgresql] touchtechpayments.com:5432
[powerchuteplus] touchtechpayments.com:6547
[powerchute] touchtechpayments.com:3052
[poweronnud] touchtechpayments.com:3168
[ppp] touchtechpayments.com:3000
[pptp] touchtechpayments.com:1723
[presence] touchtechpayments.com:5298
[printer] touchtechpayments.com:515
[privatewire] touchtechpayments.com:4449
[priv-mail] touchtechpayments.com:24
[proofd] touchtechpayments.com:1093
[pvuniwien] touchtechpayments.com:1081
[pwgpsi] touchtechpayments.com:3800
[pxc-pin] touchtechpayments.com:4005
[pxc-roid] touchtechpayments.com:4004
[pxc-splr-ft] touchtechpayments.com:4003
[pxc-spvr] touchtechpayments.com:4006
[qip-login] touchtechpayments.com:2366
[qotd] touchtechpayments.com:17
[qsc] touchtechpayments.com:787
[qsm-gui] touchtechpayments.com:1165
[qsm-proxy] touchtechpayments.com:1164
[qsm-remote] touchtechpayments.com:1166
[radan-http] touchtechpayments.com:8088
[radius] touchtechpayments.com:1812
[radmin] touchtechpayments.com:4899
[raid-am] touchtechpayments.com:2013
[ratio-adp] touchtechpayments.com:1108
[rdrmshc] touchtechpayments.com:1075
[realserver] touchtechpayments.com:7070
[remoteanything] touchtechpayments.com:4000
[remote-as] touchtechpayments.com:1053
[rendezvous] touchtechpayments.com:3689
[resacommunity] touchtechpayments.com:1154
[resvc] touchtechpayments.com:691
[retrospect] touchtechpayments.com:497
[rfe] touchtechpayments.com:5002
[ripd] touchtechpayments.com:2602
[rlm-admin] touchtechpayments.com:5054
[rmiactivation] touchtechpayments.com:1098
[rmiregistry] touchtechpayments.com:1099
[rmpp] touchtechpayments.com:1121
[roboeda] touchtechpayments.com:2920
[rootd] touchtechpayments.com:1094
[routematch] touchtechpayments.com:1287
[rpcbind] touchtechpayments.com:111
[rrac] touchtechpayments.com:5678
[rrp] touchtechpayments.com:648
[rsftp] touchtechpayments.com:26
[rsh-spx] touchtechpayments.com:222
[rsync] touchtechpayments.com:873
[rtmp] touchtechpayments.com:1935
[rtps-dd-mt] touchtechpayments.com:7402
[rtsp] touchtechpayments.com:554
[rtsserv] touchtechpayments.com:2500
[rwhois] touchtechpayments.com:4321
[rww] touchtechpayments.com:4125
[rxapi] touchtechpayments.com:10010
[rxmon] touchtechpayments.com:1311
[samba-swat] touchtechpayments.com:901
[sane-port] touchtechpayments.com:6566
[sas-3] touchtechpayments.com:1501
[satvid-datalnk] touchtechpayments.com:3367
[satvid-datalnk] touchtechpayments.com:3369
[satvid-datalnk] touchtechpayments.com:3370
[satvid-datalnk] touchtechpayments.com:3371
[sbl] touchtechpayments.com:1039
[sco-dtmgr] touchtechpayments.com:617
[scoremgr] touchtechpayments.com:2034
[sco-sysmgr] touchtechpayments.com:616
[scotty-ft] touchtechpayments.com:14000
[scp-config] touchtechpayments.com:10001
[scriptview] touchtechpayments.com:7741
[sdadmind] touchtechpayments.com:5550
[sddp] touchtechpayments.com:1163
[sdfunc] touchtechpayments.com:2046
[sdr] touchtechpayments.com:9010
[sd] touchtechpayments.com:9876
[search] touchtechpayments.com:2010
[secureidprop] touchtechpayments.com:5510
[sentinelsrm] touchtechpayments.com:1947
[servexec] touchtechpayments.com:2021
[sgi-soap] touchtechpayments.com:11110
[shell] touchtechpayments.com:514
[silverplatter] touchtechpayments.com:416
[simbaexpress] touchtechpayments.com:1583
[simplifymedia] touchtechpayments.com:8087
[sip-tls] touchtechpayments.com:5061
[sip] touchtechpayments.com:5060
[sitewatch-s] touchtechpayments.com:3766
[sixnetudr] touchtechpayments.com:1658
[sixtrak] touchtechpayments.com:1594
[smc-http] touchtechpayments.com:6788
[sms-rcinfo] touchtechpayments.com:2701
[sms-xfer] touchtechpayments.com:2702
[smtps] touchtechpayments.com:465
[smtp] touchtechpayments.com:25
[smux] touchtechpayments.com:199
[snet-sensor-mgmt] touchtechpayments.com:10000
[snews] touchtechpayments.com:563
[snmp] touchtechpayments.com:161
[snpp] touchtechpayments.com:444
[sns_credit] touchtechpayments.com:1076
[soap-http] touchtechpayments.com:7627
[socks] touchtechpayments.com:1080
[sometimes-rpc11] touchtechpayments.com:32774
[sometimes-rpc13] touchtechpayments.com:32775
[sometimes-rpc15] touchtechpayments.com:32776
[sometimes-rpc17] touchtechpayments.com:32777
[sometimes-rpc19] touchtechpayments.com:32778
[sometimes-rpc21] touchtechpayments.com:32779
[sometimes-rpc23] touchtechpayments.com:32780
[sometimes-rpc3] touchtechpayments.com:32770
[sometimes-rpc5] touchtechpayments.com:32771
[sometimes-rpc7] touchtechpayments.com:32772
[sometimes-rpc9] touchtechpayments.com:32773
[sophos] touchtechpayments.com:8192
[sophos] touchtechpayments.com:8193
[sophos] touchtechpayments.com:8194
[spamassassin] touchtechpayments.com:783
[spectraport] touchtechpayments.com:3851
[squid-http] touchtechpayments.com:3128
[ssh] touchtechpayments.com:22
[sso-service] touchtechpayments.com:2710
[startron] touchtechpayments.com:1057
[statusd] touchtechpayments.com:5414
[submission] touchtechpayments.com:587
[su-mit-tg] touchtechpayments.com:89
[sun-answerbook] touchtechpayments.com:8888
[sunclustermgr] touchtechpayments.com:1097
[sun-manageconsole] touchtechpayments.com:898
[sunwebadmin] touchtechpayments.com:8800
[surfpass] touchtechpayments.com:5030
[surf] touchtechpayments.com:1010
[svn] touchtechpayments.com:3690
[svrloc] touchtechpayments.com:427
[swdtp-sv] touchtechpayments.com:10009
[sybase] touchtechpayments.com:2638
[symantec-av] touchtechpayments.com:2967
[synchronet-db] touchtechpayments.com:6100
[syscomlan] touchtechpayments.com:1065
[sysinfo-sp] touchtechpayments.com:11967
[tacacs] touchtechpayments.com:49
[targus-getdata] touchtechpayments.com:5200
[tcp-id-port] touchtechpayments.com:1999
[tcpmux] touchtechpayments.com:1
[tdaccess] touchtechpayments.com:2910
[td-postman] touchtechpayments.com:1049
[telnets] touchtechpayments.com:992
[telnet] touchtechpayments.com:23
[teradataordbms] touchtechpayments.com:8002
[timbuktu-srv1] touchtechpayments.com:1417
[timbuktu] touchtechpayments.com:407
[time] touchtechpayments.com:37
[tivoconnect] touchtechpayments.com:2190
[tmi] touchtechpayments.com:8300
[tn-tl-r1] touchtechpayments.com:1580
[tor-orport] touchtechpayments.com:9001
[tor-socks] touchtechpayments.com:9050
[tor-trans] touchtechpayments.com:9040
[tram] touchtechpayments.com:4567
[trim] touchtechpayments.com:1137
[tripwire] touchtechpayments.com:1169
[trivnet1] touchtechpayments.com:8200
[trusted-web] touchtechpayments.com:3011
[tsa] touchtechpayments.com:6689
[tvbus] touchtechpayments.com:2191
[unicall] touchtechpayments.com:4343
