[cddbp-alt] betfair.it:8880
[https-alt] scommesseonline.betfair.it:8443
[https-alt] segnalaeguadagna.betfair.it:8443
[https-alt] sib.betfair.it:8443
[https-alt] smd.betfair.it:8443
[https-alt] smp.betfair.it:8443
[https-alt] smt.betfair.it:8443
[https-alt] spb.betfair.it:8443
[https-alt] ssc.betfair.it:8443
[https-alt] strands.betfair.it:8443
[https-alt] support.betfair.it:8443
[https-alt] usp.betfair.it:8443
[https-alt] vegas.betfair.it:8443
[https-alt] videoplayer.betfair.it:8443
[https-alt] vqa.betfair.it:8443
[https-alt] was.betfair.it:8443
[https-alt] wss.betfair.it:8443
[https-alt] www.betfair.it:8443
[https] api.betfair.it:443
[https] apieds.betfair.it:443
[https] apiems.betfair.it:443
[https] apiemsios.betfair.it:443
[https] apismx.betfair.it:443
[https] assets.betfair.it:443
[https] betfair.it:443
[https] cashout-exchange.betfair.it:443
[https] cashout-service.betfair.it:443
[https] cashrace.betfair.it:443
[https] casino.betfair.it:443
[https] cbs.betfair.it:443
[https] ccc.betfair.it:443
[http] sco.betfair.it:80
[http] scommesse.betfair.it:80
[http] scommesseonline.betfair.it:80
[https] cro.betfair.it:443
[https] ebs-api.betfair.it:443
[http] segnalaeguadagna.betfair.it:80
[https] ero.betfair.it:443
[https] etx.betfair.it:443
[https] fcq-service.betfair.it:443
[https] foebf.betfair.it:443
[https] gfe.betfair.it:443
[https] giocoresponsabile.betfair.it:443
[https] gmd.betfair.it:443
[https] graphs.betfair.it:443
[https] grouting.betfair.it:443
[https] guidachat.betfair.it:443
[http] sib.betfair.it:80
[https] identitysso.betfair.it:443
[https] ie1-account-messaging.betfair.it:443
[https] ie1-apiems.betfair.it:443
[https] ie1-cashrace.betfair.it:443
[https] ie1-etx.betfair.it:443
[https] ie1-foebf.betfair.it:443
[https] ie1-gmd.betfair.it:443
[https] ie1-graphs.betfair.it:443
[https] ie1-itsbmga.betfair.it:443
[https] ie1-launcher.betfair.it:443
[https] ie1-myactivity-cdn.betfair.it:443
[https] ie1-nssbf.betfair.it:443
[https] ie1-poker.betfair.it:443
[https] ie1-pphbf.betfair.it:443
[https] ie1-promotions.betfair.it:443
[https] ie1-promozioni.betfair.it:443
[https] ie1-rewardchest.betfair.it:443
[https] ie1-sco.betfair.it:443
[https] ie1-smd.betfair.it:443
[https] ie1-smt.betfair.it:443
[https] ie1-sportsbook-api.betfair.it:443
[https] ie1-uspbf.betfair.it:443
[https] ie1-vqa.betfair.it:443
[https] ie2-account-messaging.betfair.it:443
[https] ie2-apieds.betfair.it:443
[https] ie2-apiems.betfair.it:443
[https] ie2-cashrace.betfair.it:443
[https] ie2-foebf.betfair.it:443
[https] ie2-gmd.betfair.it:443
[https] ie2-graphs.betfair.it:443
[https] ie2-itsbmga.betfair.it:443
[https] ie2-myactivity-cdn.betfair.it:443
[https] ie2-nssbf.betfair.it:443
[https] ie2-poker.betfair.it:443
[https] ie2-pphbf.betfair.it:443
[https] ie2-promotions.betfair.it:443
[https] ie2-promozioni.betfair.it:443
[https] ie2-rewardchest.betfair.it:443
[https] ie2-sco.betfair.it:443
[https] ie2-sib.betfair.it:443
[https] ie2-smd.betfair.it:443
[https] ie2-smt.betfair.it:443
[https] ie2-sportsbook-api.betfair.it:443
[https] ie2-usp.betfair.it:443
[https] ie2-uspbf.betfair.it:443
[https] ie2-vqa.betfair.it:443
[http] simulator.betfair.it:80
[https] ips.betfair.it:443
[https] launcher.betfair.it:443
[https] lbr.betfair.it:443
[https] maintenance.betfair.it:443
[https] mcasino.betfair.it:443
[http] smd.betfair.it:80
[https] messaging.betfair.it:443
[https] m.mails.betfair.it:443
[http] smp.betfair.it:80
[https] msoid.betfair.it:443
[http] smt.betfair.it:80
[https] mvegas.betfair.it:443
[https] myacc.betfair.it:443
[https] myaccount.betfair.it:443
[https] myactivity.betfair.it:443
[https] myactivity-cdn.betfair.it:443
[https] mycards.betfair.it:443
[https] myfunds.betfair.it:443
[https] nssbf.betfair.it:443
[https] partnerships.betfair.it:443
[http] spb.betfair.it:80
[https] play.betfair.it:443
[https] playerprotection.betfair.it:443
[https] poker.betfair.it:443
[https] pokersg.betfair.it:443
[https] pphbf.betfair.it:443
[https] promotions.betfair.it:443
[https] promozioni.betfair.it:443
[https] register.betfair.it:443
[https] rewardchest.betfair.it:443
[http] ssc.betfair.it:80
[https] sco.betfair.it:443
[https] scommesse.betfair.it:443
[https] scommesseonline.betfair.it:443
[https] segnalaeguadagna.betfair.it:443
[https] sib.betfair.it:443
[https] simulator.betfair.it:443
[https] smd.betfair.it:443
[https] smp.betfair.it:443
[https] smt.betfair.it:443
[https] spb.betfair.it:443
[https] ssc.betfair.it:443
[https] strands.betfair.it:443
[https] support.betfair.it:443
[https] t.mails.betfair.it:443
[http] strands.betfair.it:80
[http] support.betfair.it:80
[https] usp.betfair.it:443
[https] vegas.betfair.it:443
[https] videoplayer.betfair.it:443
[https] vqa.betfair.it:443
[https] was.betfair.it:443
[https] wss.betfair.it:443
[https] www.betfair.it:443
[http] t.mails.betfair.it:80
[http] usp.betfair.it:80
[http] vegas.betfair.it:80
[http] videoplayer.betfair.it:80
[http] vqa.betfair.it:80
[http] was.betfair.it:80
[http] wss.betfair.it:80
[http] www.betfair.it:80
[infowave] affiliates.betfair.it:2082
[infowave] betfair.it:2082
[nbx-dir] betfair.it:2096
[radsec] affiliates.betfair.it:2083
[radsec] betfair.it:2083
