[abyss] buy.bitdefender.com:9999
[dnox] buy.bitdefender.com:4022
[dnp] beta-account.bitdefender.com:20000
[dnp] beta-login.bitdefender.com:20000
[dnp] buy.bitdefender.com:20000
[dnp] resellerportal.bitdefender.com:20000
[domain] buy.bitdefender.com:53
[drm-production] buy.bitdefender.com:7171
[d-s-n] beta-account.bitdefender.com:8086
[d-s-n] buy.bitdefender.com:8086
[d-s-n] oem-login.bitdefender.com:8086
[d-s-n] resellerportal.bitdefender.com:8086
[dynamid] buy.bitdefender.com:9002
[eli] account.bitdefender.com:2087
[eli] auth.mdr.bitdefender.com:2087
[eli] auth.mdrt.bitdefender.com:2087
[eli] beta-central.bitdefender.com:2087
[eli] businessinsights.bitdefender.com:2087
[eli] businessresources.bitdefender.com:2087
[eli] buy.bitdefender.com:2087
[eli] myaccount.bitdefender.com:2087
[eli] new.bitdefender.com:2087
[eli] nmr.bitdefender.com:2087
[eli] notification.bitdefender.com:2087
[eli] share.bitdefender.com:2087
[eli] support.bitdefender.com:2087
[epp] resellerportal.bitdefender.com:700
[esmagent] buy.bitdefender.com:5601
[EtherNetIP-1] buy.bitdefender.com:2222
[ff-annunc] resellerportal.bitdefender.com:1089
[freeciv] buy.bitdefender.com:5555
[ftp] betacampaigns.bitdefender.com:21
[ftp] delft.bitdefender.com:21
[ftp] drakon1.bitdefender.com:21
[ftp] lists.bitdefender.com:21
[ftp] throne2.bitdefender.com:21
[ftp] throne.bitdefender.com:21
[ftp] w3huzar.bitdefender.com:21
[glrpc] buy.bitdefender.com:9080
[gnunet] account.bitdefender.com:2086
[gnunet] auth.mdr.bitdefender.com:2086
[gnunet] auth.mdrt.bitdefender.com:2086
[gnunet] beta-central.bitdefender.com:2086
[gnunet] businessinsights.bitdefender.com:2086
[gnunet] businessresources.bitdefender.com:2086
[gnunet] buy.bitdefender.com:2086
[gnunet] myaccount.bitdefender.com:2086
[gnunet] new.bitdefender.com:2086
[gnunet] nmr.bitdefender.com:2086
[gnunet] notification.bitdefender.com:2086
[gnunet] share.bitdefender.com:2086
[hosts2-ns] buy.bitdefender.com:81
[hotline] buy.bitdefender.com:1234
[http] account.bitdefender.com:80
[http] alpha-central.bitdefender.com:80
[http] anzpartnerportal.bitdefender.com:80
[http] apex-us.bitdefender.com:80
[http] api.customerzone.bitdefender.com:80
[http] api.pan.bitdefender.com:80
[http] api-stage.pan-stage.bitdefender.com:80
[http] api.ti.bitdefender.com:80
[http] applecsrwebservice.bitdefender.com:80
[http] arca.bitdefender.com:80
[http] auth.mdr.bitdefender.com:80
[http] auth.mdrt.bitdefender.com:80
[http] beta-account.bitdefender.com:80
[http] beta.bitdefender.com:80
[http] betacampaigns.bitdefender.com:80
[http] beta-central.bitdefender.com:80
[http] beta-checkout-sdk.bitdefender.com:80
[http] beta-checkout-service.bitdefender.com:80
[http] beta-login.bitdefender.com:80
[http] beta-msp.bitdefender.com:80
[http] bitadvisors.bitdefender.com:80
[http] bitdefender.com:80
[http] bitdefender-for-service-providers.bitdefender.com:80
[http] brand.bitdefender.com:80
[http] businessemail.bitdefender.com:80
[http] businessinsights.bitdefender.com:80
[http] businessresources.bitdefender.com:80
[http] buy.bitdefender.com:80
[http] buy.bitdefender.com:8008
[http] central-appdirect.bitdefender.com:80
[http] central.bitdefender.com:80
[http] central-eu.bitdefender.com:80
[http] channel.bitdefender.com:80
[http] cloud-ecs.gravityzone.bitdefender.com:80
[http] cloud.gravityzone.bitdefender.com:80
[http] cloudgz-ecs.gravityzone.bitdefender.com:80
[http] cloudgz.gravityzone.bitdefender.com:80
[http] cloudirl.gravityzone.bitdefender.com:80
[http] community.bitdefender.com:80
[http] csrtools-api.bitdefender.com:80
[http] customerzone-api.bitdefender.com:80
[http] customerzone.bitdefender.com:80
[http] cwse-plugin-stg.dev.rmm.bitdefender.com:80
[http] cwse-plugin-uat.dev.rmm.bitdefender.com:80
[http] czt.bitdefender.com:80
[http] download.bitdefender.com:80
[http] edu.bitdefender.com:80
[http] elearning.bitdefender.com:80
[http] emc.services.bitdefender.com:80
[http] enterprise.bitdefender.com:80
[http] eu-tc.gravityzone.bitdefender.com:80
[http] explore.bitdefender.com:80
[http] explore-lb.bitdefender.com:80
[http] feeds.ti.bitdefender.com:80
[http] forum.bitdefender.com:80
[http] go.bitdefender.com:80
[http] gravityzone.bitdefender.com:80
[http] gzevents-dev.dev.rmm.bitdefender.com:80
[http] gzevents-uat.dev.rmm.bitdefender.com:80
[http] gzevents.uat.rmm.bitdefender.com:80
[http] help.gravityzone.bitdefender.com:80
[http] hotforsecurity.bitdefender.com:80
[http] ingestors-eu.bmdr.bitdefender.com:80
[http] ingestors-us.bmdr.bitdefender.com:80
[http] ipm.bitdefender.com:80
[http] ipm-lb.bitdefender.com:80
[http] labs.bitdefender.com:80
[http] latin.bitdefender.com:80
[http] linux.bitdefender.com:80
[http] login.bitdefender.com:80
[http] lv2.bitdefender.com:80
[http] lv2-lb.bitdefender.com:80
[http] mastercard.bitdefender.com:80
[http] mdr.bitdefender.com:80
[http] mdrt.bitdefender.com:80
[http] metrics.bitdefender.com:80
[http] misp-feed.bitdefender.com:80
[http] msp.bitdefender.com:80
[http] myaccount.bitdefender.com:80
[http] my.bitdefender.com:80
[http] new.bitdefender.com:80
[http] nmr.bitdefender.com:80
[http] notification.bitdefender.com:80
[http] oemhub.bitdefender.com:80
[http] oem-login.bitdefender.com:80
[http] oemportal.bitdefender.com:80
[http] oemresources.bitdefender.com:80
[http] onboarding.gravityzone.bitdefender.com:80
[http] order.bitdefender.com:80
[http] orion.bitdefender.com:80
[http] pan.bitdefender.com:80
[http] pan-stage.bitdefender.com:80
[http] parentaladvisor.bitdefender.com:80
[http] partners.bitdefender.com:80
[http] partners.elearning.bitdefender.com:80
[http] partners-lb.bitdefender.com:80
[http-proxy] auth.mdr.bitdefender.com:8080
[http-proxy] beta-account.bitdefender.com:8080
[http-proxy] beta-central.bitdefender.com:8080
[http-proxy] beta-login.bitdefender.com:8080
[http-proxy] businessemail.bitdefender.com:8080
[http-proxy] businessinsights.bitdefender.com:8080
[http-proxy] businessresources.bitdefender.com:8080
[http-proxy] myaccount.bitdefender.com:8080
[http-proxy] new.bitdefender.com:8080
[http-proxy] nmr.bitdefender.com:8080
[http-proxy] oemhub.bitdefender.com:8080
[http-proxy] oem-login.bitdefender.com:8080
[http-proxy] oemresources.bitdefender.com:8080
[http-proxy] resellerportal.bitdefender.com:8080
[http-proxy] share.bitdefender.com:8080
[http-proxy] support.bitdefender.com:8080
[http-proxy] test.swimlane.bitdefender.com:8080
[http] push-hello.bitdefender.com:80
[http] quickscan.bitdefender.com:80
[http] ra.bitdefender.com:80
[http] ra-eu.bitdefender.com:80
[http] ra-us.bitdefender.com:80
[http] rdprojects.bitdefender.com:80
[http] remote.bitdefender.com:80
[http] renewals.bitdefender.com:80
[http] research.bitdefender.com:80
[http] resellerportal.bitdefender.com:80
[http] rmm-cw-client-api-plugin-intgr.dev.rmm.bitdefender.com:80
[http] rmm-cw-client-api-plugin-uat.dev.rmm.bitdefender.com:80
[http] rmm-cw-client-api-uat.dev.rmm.bitdefender.com:80
[http] rmm-cw-rmm-api-plugin-intgr.dev.rmm.bitdefender.com:80
[http] rmm-cw-rmm-api-plugin-uat.dev.rmm.bitdefender.com:80
[http] rmm-cw-rmm-api-uat.dev.rmm.bitdefender.com:80
[https] account.bitdefender.com:443
[http] sales.bitdefender.com:80
[https] alpha-central.bitdefender.com:443
[https-alt] account.bitdefender.com:8443
[https-alt] auth.mdr.bitdefender.com:8443
[https-alt] auth.mdrt.bitdefender.com:8443
[https-alt] beta-central.bitdefender.com:8443
[https-alt] businessemail.bitdefender.com:8443
[https-alt] businessinsights.bitdefender.com:8443
[https-alt] businessresources.bitdefender.com:8443
[https-alt] buy.bitdefender.com:8443
[https-alt] gz-mobile.bitdefender.com:8443
[https-alt] myaccount.bitdefender.com:8443
[https-alt] new.bitdefender.com:8443
[https-alt] nmr.bitdefender.com:8443
[https-alt] notification.bitdefender.com:8443
[https-alt] oemhub.bitdefender.com:8443
[https-alt] oemresources.bitdefender.com:8443
[https-alt] share.bitdefender.com:8443
[https-alt] support.bitdefender.com:8443
[https-alt] test.swimlane.bitdefender.com:8443
[http] sampleupload.bitdefender.com:80
[https] anzpartnerportal.bitdefender.com:443
[https] apex-us.bitdefender.com:443
[https] api.customerzone.bitdefender.com:443
[https] api.pan.bitdefender.com:443
[https] api-stage.pan-stage.bitdefender.com:443
[https] api.ti.bitdefender.com:443
[https] applecsrwebservice.bitdefender.com:443
[https] arca.bitdefender.com:443
[https] attinsight.bitdefender.com:443
[https] auth.mdr.bitdefender.com:443
[https] auth.mdrt.bitdefender.com:443
[https] autodiscover.bitdefender.com:443
[https] belt.orion.bitdefender.com:443
[https] beta-account.bitdefender.com:443
[https] beta.bitdefender.com:443
[https] betacampaigns.bitdefender.com:443
[https] beta-central.bitdefender.com:443
[https] beta-checkout-sdk.bitdefender.com:443
[https] beta-checkout-service.bitdefender.com:443
[https] beta-login.bitdefender.com:443
[https] beta-msp.bitdefender.com:443
[https] bitadvisors.bitdefender.com:443
[https] bitdefender.com:443
[https] bitdefender-for-service-providers.bitdefender.com:443
[https] brand.bitdefender.com:443
[https] businessemail.bitdefender.com:443
[https] businessinsights.bitdefender.com:443
[https] businessresources.bitdefender.com:443
[https] buy.bitdefender.com:443
[https] central-appdirect.bitdefender.com:443
[https] central.bitdefender.com:443
[https] central-eu.bitdefender.com:443
[https] channel.bitdefender.com:443
[https] cloud-ecs.gravityzone.bitdefender.com:443
[https] cloud.gravityzone.bitdefender.com:443
[https] cloudgz-ecs.gravityzone.bitdefender.com:443
[https] cloudgz.gravityzone.bitdefender.com:443
[https] cloudirl.gravityzone.bitdefender.com:443
[https] community.bitdefender.com:443
[https] csrtools-api.bitdefender.com:443
[https] customerzone-api.bitdefender.com:443
[https] customerzone.bitdefender.com:443
[https] cwse-plugin-stg.dev.rmm.bitdefender.com:443
[https] cwse-plugin-uat.dev.rmm.bitdefender.com:443
[https] czt.bitdefender.com:443
[https] deskpro-api.bitdefender.com:443
[https] dev.swimlane.bitdefender.com:443
[https] download.bitdefender.com:443
[http] securityscan.bitdefender.com:80
[https] edu.bitdefender.com:443
[https] elearning.bitdefender.com:443
[https] emc.services.bitdefender.com:443
[https] enterprise.bitdefender.com:443
[http] services-www.bitdefender.com:80
[https] eu-lurker-input.gravityzone.bitdefender.com:443
[https] eu-tc.gravityzone.bitdefender.com:443
[https] explore.bitdefender.com:443
[https] explore-lb.bitdefender.com:443
[https] external-api.data.bitdefender.com:443
[https] feeds.ti.bitdefender.com:443
[https] forum.bitdefender.com:443
[https] go.bitdefender.com:443
[https] gravityzone.bitdefender.com:443
[https] gzevents-dev.dev.rmm.bitdefender.com:443
[https] gzevents-uat.dev.rmm.bitdefender.com:443
[https] gzevents.uat.rmm.bitdefender.com:443
[http] share.bitdefender.com:80
[https] help.gravityzone.bitdefender.com:443
[http] shop.bitdefender.com:80
[https] hotforsecurity.bitdefender.com:443
[https] ingestors-eu.bmdr.bitdefender.com:443
[https] ingestors-us.bmdr.bitdefender.com:443
[https] ipm.bitdefender.com:443
[https] ipm-lb.bitdefender.com:443
[https] labs.bitdefender.com:443
[https] latin.bitdefender.com:443
[https] linux.bitdefender.com:443
[https] login.bitdefender.com:443
[https] lv2.bitdefender.com:443
[https] lv2-lb.bitdefender.com:443
[https] mastercard.bitdefender.com:443
[https] mdr.bitdefender.com:443
[https] mdrt.bitdefender.com:443
[http] smesec.bitdefender.com:80
[https] metrics.bitdefender.com:443
[https] misp-feed.bitdefender.com:443
[https] mobicomapi.bitdefender.com:443
[https] msp.bitdefender.com:443
[https] myaccount.bitdefender.com:443
[https] my.bitdefender.com:443
[https] new.bitdefender.com:443
[https] nmr.bitdefender.com:443
[https] notification.bitdefender.com:443
[http] snx.central.bitdefender.com:80
[https] oemhub.bitdefender.com:443
[https] oem-login.bitdefender.com:443
[https] oemportal.bitdefender.com:443
[https] oemresources.bitdefender.com:443
[https] onboarding.gravityzone.bitdefender.com:443
[https] order.bitdefender.com:443
[https] orion.bitdefender.com:443
[https] pan.bitdefender.com:443
[https] pan-stage.bitdefender.com:443
[https] parentaladvisor.bitdefender.com:443
[https] partners.bitdefender.com:443
[https] partners.elearning.bitdefender.com:443
[https] partners-lb.bitdefender.com:443
[https] pemobicomapi.bitdefender.com:443
[https] push-hello.bitdefender.com:443
[https] quickscan.bitdefender.com:443
[https] ra.bitdefender.com:443
[https] ra-eu.bitdefender.com:443
[https] ra-us.bitdefender.com:443
[https] rdprojects.bitdefender.com:443
[https] remote.bitdefender.com:443
[https] renewals.bitdefender.com:443
[https] research.bitdefender.com:443
[https] resellerportal.bitdefender.com:443
[https] rmm-cw-client-api-plugin-intgr.dev.rmm.bitdefender.com:443
[https] rmm-cw-client-api-plugin-uat.dev.rmm.bitdefender.com:443
[https] rmm-cw-client-api-uat.dev.rmm.bitdefender.com:443
[https] rmm-cw-rmm-api-plugin-intgr.dev.rmm.bitdefender.com:443
[https] rmm-cw-rmm-api-plugin-uat.dev.rmm.bitdefender.com:443
[https] rmm-cw-rmm-api-uat.dev.rmm.bitdefender.com:443
[https] sales.bitdefender.com:443
[https] sampleupload.bitdefender.com:443
[https] sandbox-portal.gravityzone.bitdefender.com:443
[https] sandbox-portal-us.gravityzone.bitdefender.com:443
[https] securityscan.bitdefender.com:443
[http] ssems.gravityzone.bitdefender.com:80
[https] services-www.bitdefender.com:443
[https] share.bitdefender.com:443
[https] shop.bitdefender.com:443
[https] smesec.bitdefender.com:443
[https] snx.central.bitdefender.com:443
[https] ssems.gravityzone.bitdefender.com:443
[https] sstats.bitdefender.com:443
[https] stage-tcomapi.bitdefender.com:443
[https] stage.whitelisting.bitdefender.com:443
[https] starget.bitdefender.com:443
[https] static-hello.bitdefender.com:443
[https] stats.bitdefender.com:443
[http] sstats.bitdefender.com:80
[https] store.bitdefender.com:443
[https] submit.bitdefender.com:443
[https] support.bitdefender.com:443
[https] support-emc.services.bitdefender.com:443
[https] survey.bitdefender.com:443
[https] swimlane.bitdefender.com:443
[http] stage.whitelisting.bitdefender.com:80
[http] starget.bitdefender.com:80
[http] static-hello.bitdefender.com:80
[http] stats.bitdefender.com:80
[https] taxii.ti.bitdefender.com:443
[https] tcomapi.bitdefender.com:443
[https] test.swimlane.bitdefender.com:443
[https] threatmap.bitdefender.com:443
[http] store.bitdefender.com:80
[https] trafficlight.bitdefender.com:443
[https] translate.bitdefender.com:443
[http] submit.bitdefender.com:80
[https] ugc.bitdefender.com:443
[https] update.bitdefender.com:443
[https] update-lb.bitdefender.com:443
[https] upgrade.bitdefender.com:443
[http] support.bitdefender.com:80
[http] support-emc.services.bitdefender.com:80
[http] survey.bitdefender.com:80
[https] us-lurker-input.gravityzone.bitdefender.com:443
[https] us-tc.gravityzone.bitdefender.com:443
[https] vsa-52-158-24-215.bitdefender.com:443
[https] vsa-52-178-181-125.bitdefender.com:443
[https] whitelist.bitdefender.com:443
[https] www.central.bitdefender.com:443
[https] www.enterprise.bitdefender.com:443
[https] www.gravityzone.bitdefender.com:443
[https] xmail.bitdefender.com:443
[https] xmail-lb.bitdefender.com:443
[http] taxii.ti.bitdefender.com:80
[http] tcomapi.bitdefender.com:80
[http] threatmap.bitdefender.com:80
[http] trafficlight.bitdefender.com:80
[http] translate.bitdefender.com:80
[http] ugc.bitdefender.com:80
[http] update.bitdefender.com:80
[http] update-lb.bitdefender.com:80
[http] upgrade.bitdefender.com:80
[http] us-tc.gravityzone.bitdefender.com:80
[http] view-download.bitdefender.com:80
[http] whitelist.bitdefender.com:80
[http] whitelisting.bitdefender.com:80
[http] www.central.bitdefender.com:80
[http] www.enterprise.bitdefender.com:80
[http] www.gravityzone.bitdefender.com:80
[ibm-db2] buy.bitdefender.com:50000
[icl-twobase2] buy.bitdefender.com:25001
[ies-lm] resellerportal.bitdefender.com:1443
[imap] beta-account.bitdefender.com:143
[imap] beta-login.bitdefender.com:143
[imap] oem-login.bitdefender.com:143
[imap] resellerportal.bitdefender.com:143
[imaps] beta-account.bitdefender.com:993
[imaps] beta-login.bitdefender.com:993
[imaps] imap4.bitdefender.com:993
[imaps] imap.bitdefender.com:993
[imaps] oem-login.bitdefender.com:993
[imaps] pop3.bitdefender.com:993
[imaps] pop.bitdefender.com:993
[imaps] resellerportal.bitdefender.com:993
[infowave] auth.mdr.bitdefender.com:2082
[infowave] auth.mdrt.bitdefender.com:2082
[infowave] beta-central.bitdefender.com:2082
[infowave] businessinsights.bitdefender.com:2082
[infowave] businessresources.bitdefender.com:2082
[infowave] buy.bitdefender.com:2082
[infowave] myaccount.bitdefender.com:2082
[infowave] new.bitdefender.com:2082
[infowave] nmr.bitdefender.com:2082
[infowave] notification.bitdefender.com:2082
[infowave] share.bitdefender.com:2082
[infowave] support.bitdefender.com:2082
[intermapper] buy.bitdefender.com:8181
[ipp] buy.bitdefender.com:631
[iwg1] buy.bitdefender.com:7071
[jetdirect] beta-account.bitdefender.com:9100
[jetdirect] beta-login.bitdefender.com:9100
[jetdirect] buy.bitdefender.com:9100
[jetdirect] resellerportal.bitdefender.com:9100
[kdm] buy.bitdefender.com:1024
[kerberos-sec] buy.bitdefender.com:88
[knetd] account.bitdefender.com:2053
[knetd] beta-central.bitdefender.com:2053
[knetd] businessinsights.bitdefender.com:2053
[knetd] businessresources.bitdefender.com:2053
[knetd] myaccount.bitdefender.com:2053
[knetd] new.bitdefender.com:2053
[knetd] nmr.bitdefender.com:2053
[knetd] notification.bitdefender.com:2053
[knetd] share.bitdefender.com:2053
[ldap] buy.bitdefender.com:389
[ldapssl] buy.bitdefender.com:636
[memcache] beta-account.bitdefender.com:11211
[memcache] beta-login.bitdefender.com:11211
[memcache] oem-login.bitdefender.com:11211
[memcache] resellerportal.bitdefender.com:11211
[micromuse-ncpw] buy.bitdefender.com:9600
[mit-ml-dev] beta-login.bitdefender.com:83
[mit-ml-dev] buy.bitdefender.com:83
[mit-ml-dev] oem-login.bitdefender.com:83
[mit-ml-dev] resellerportal.bitdefender.com:83
[mit-ml-dev] resellerportal.bitdefender.com:85
[mqtt] beta-account.bitdefender.com:1883
[mqtt] beta-login.bitdefender.com:1883
[mqtt] oem-login.bitdefender.com:1883
[mqtt] resellerportal.bitdefender.com:1883
[ms-v-worlds] emc.services.bitdefender.com:2525
[ms-v-worlds] support-emc.services.bitdefender.com:2525
[ms-wbt-server] beta-account.bitdefender.com:3389
[ms-wbt-server] beta-login.bitdefender.com:3389
[ms-wbt-server] buy.bitdefender.com:3389
[ms-wbt-server] oem-login.bitdefender.com:3389
[ms-wbt-server] resellerportal.bitdefender.com:3389
[nbx-dir] businessinsights.bitdefender.com:2096
[nbx-dir] businessresources.bitdefender.com:2096
[nbx-ser] beta-central.bitdefender.com:2095
[nbx-ser] businessinsights.bitdefender.com:2095
[nbx-ser] businessresources.bitdefender.com:2095
[nbx-ser] myaccount.bitdefender.com:2095
[nbx-ser] new.bitdefender.com:2095
[nbx-ser] nmr.bitdefender.com:2095
[ncd-conf] resellerportal.bitdefender.com:5999
[ndmps] resellerportal.bitdefender.com:30000
[neo4j] buy.bitdefender.com:7474
[nessus] buy.bitdefender.com:3001
[netbus] buy.bitdefender.com:12345
[opsmessaging] beta-login.bitdefender.com:8090
[opsmessaging] buy.bitdefender.com:8090
[opsmessaging] oem-login.bitdefender.com:8090
[opsmessaging] resellerportal.bitdefender.com:8090
[oracleas-https] buy.bitdefender.com:7443
[oracle] buy.bitdefender.com:1521
[pharos] buy.bitdefender.com:4443
[polipo] buy.bitdefender.com:8123
[pop3] beta-account.bitdefender.com:110
[pop3] beta-login.bitdefender.com:110
[pop3] oem-login.bitdefender.com:110
[pop3] resellerportal.bitdefender.com:110
[pop3s] beta-account.bitdefender.com:995
[pop3s] beta-login.bitdefender.com:995
[pop3s] imap4.bitdefender.com:995
[pop3s] imap.bitdefender.com:995
[pop3s] oem-login.bitdefender.com:995
[pop3s] pop3.bitdefender.com:995
[pop3s] pop.bitdefender.com:995
[pop3s] resellerportal.bitdefender.com:995
[postgresql] beta-account.bitdefender.com:5432
[postgresql] beta-login.bitdefender.com:5432
[postgresql] oem-login.bitdefender.com:5432
[postgresql] resellerportal.bitdefender.com:5432
[ppp] buy.bitdefender.com:3000
[priv-term-l] beta-login.bitdefender.com:87
[puppet] buy.bitdefender.com:8140
[quickbooksrds] buy.bitdefender.com:3790
[radan-http] resellerportal.bitdefender.com:8088
[radsec] account.bitdefender.com:2083
[radsec] auth.mdr.bitdefender.com:2083
[radsec] auth.mdrt.bitdefender.com:2083
[radsec] beta-central.bitdefender.com:2083
[radsec] businessinsights.bitdefender.com:2083
[radsec] businessresources.bitdefender.com:2083
[radsec] buy.bitdefender.com:2083
[radsec] myaccount.bitdefender.com:2083
[radsec] new.bitdefender.com:2083
[radsec] nmr.bitdefender.com:2083
[radsec] notification.bitdefender.com:2083
[radsec] share.bitdefender.com:2083
[radsec] support.bitdefender.com:2083
[redis] beta-account.bitdefender.com:6379
[redis] beta-login.bitdefender.com:6379
[redis] oem-login.bitdefender.com:6379
[redis] resellerportal.bitdefender.com:6379
[rtmp] beta-account.bitdefender.com:1935
[rtmp] beta-login.bitdefender.com:1935
[rtmp] buy.bitdefender.com:1935
[rtmp] oem-login.bitdefender.com:1935
[rtmp] resellerportal.bitdefender.com:1935
[rtsp] buy.bitdefender.com:554
[sae-urn] buy.bitdefender.com:4500
[saprouter] buy.bitdefender.com:3299
[smtp] beta-account.bitdefender.com:25
[smtp] beta-login.bitdefender.com:25
[smtp] buy.bitdefender.com:25
[smtp] emc.services.bitdefender.com:25
[smtp] gnom.bitdefender.com:25
[smtp] info.bitdefender.com:25
[smtp] info.wdc1.slr.mx.bitdefender.com:25
[smtp] mail.bitdefender.com:25
[smtp] mx01.bbu.dsd.mx.bitdefender.com:25
[smtp] mx01.bbu.gts.mx.bitdefender.com:25
[smtp] mx01.buh.bitdefender.com:25
[smtp] mx4.dmarc.bitdefender.com:25
[smtp] mx-alpha.bitdefender.com:25
[smtp] resellerportal.bitdefender.com:25
[smtps] beta-account.bitdefender.com:465
[smtps] beta-login.bitdefender.com:465
[smtps] emc.services.bitdefender.com:465
[smtp] smtp02.bitdefender.com:25
[smtp] smtp.bitdefender.com:25
[smtps] mx01.bbu.dsd.mx.bitdefender.com:465
[smtps] mx01.buh.bitdefender.com:465
[smtps] resellerportal.bitdefender.com:465
[smtps] smtp01.buh.bitdefender.com:465
[smtps] smtp02.bitdefender.com:465
[smtps] smtp.bitdefender.com:465
[smtps] support-emc.services.bitdefender.com:465
[smtp] support-emc.services.bitdefender.com:25
[snet-sensor-mgmt] buy.bitdefender.com:10000
[snpp] buy.bitdefender.com:444
[sphinxql] buy.bitdefender.com:9306
[ssh] delft.bitdefender.com:22
[ssh] w3huzar.bitdefender.com:22
[submission] beta-account.bitdefender.com:587
[submission] beta-login.bitdefender.com:587
[submission] buy.bitdefender.com:587
[submission] emc.services.bitdefender.com:587
[submission] oem-login.bitdefender.com:587
[submission] resellerportal.bitdefender.com:587
[submission] smtp01.buh.bitdefender.com:587
[submission] smtp02.bitdefender.com:587
[submission] smtp.bitdefender.com:587
[submission] support-emc.services.bitdefender.com:587
[su-mit-tg] oem-login.bitdefender.com:89
[su-mit-tg] resellerportal.bitdefender.com:89
[sun-answerbook] buy.bitdefender.com:8888
[sun-as-jpda] buy.bitdefender.com:9191
[sun-sr-https] buy.bitdefender.com:6443
[sunwebadmin] buy.bitdefender.com:8800
[telelpathstart] buy.bitdefender.com:5010
[tor-orport] buy.bitdefender.com:9001
[tram] buy.bitdefender.com:4567
[trivnet1] buy.bitdefender.com:8200
[tungsten-https] buy.bitdefender.com:9443
[unknown] beta-account.bitdefender.com:8099
[unknown] beta-login.bitdefender.com:8089
[unknown] buy.bitdefender.com:50050
[unknown] buy.bitdefender.com:8098
[unknown] buy.bitdefender.com:8099
[unknown] buy.bitdefender.com:9943
[unknown] oem-login.bitdefender.com:8089
[unknown] oem-login.bitdefender.com:8099
[unknown] resellerportal.bitdefender.com:8085
[unknown] resellerportal.bitdefender.com:8089
[unknown] resellerportal.bitdefender.com:8099
[upnp] buy.bitdefender.com:5000
[us-srv] buy.bitdefender.com:8083
[vcom-tunnel] buy.bitdefender.com:8001
[vnc-1] beta-account.bitdefender.com:5901
[vnc-1] beta-login.bitdefender.com:5901
[vnc-1] buy.bitdefender.com:5901
[vnc-1] resellerportal.bitdefender.com:5901
[vnc] beta-account.bitdefender.com:5900
[vnc] beta-login.bitdefender.com:5900
[vnc] buy.bitdefender.com:5900
[vnc-http] buy.bitdefender.com:5800
[vnc] resellerportal.bitdefender.com:5900
[vrace] oem-login.bitdefender.com:9300
[vstat] buy.bitdefender.com:7779
[wap-wsp] beta-account.bitdefender.com:9200
[wap-wsp] beta-login.bitdefender.com:9200
[wap-wsp] buy.bitdefender.com:9200
[wap-wsp] oem-login.bitdefender.com:9200
[wap-wsp] resellerportal.bitdefender.com:9200
[webobjects] resellerportal.bitdefender.com:1085
[whois] beta-account.bitdefender.com:43
[whois] beta-login.bitdefender.com:43
[whois] resellerportal.bitdefender.com:43
[wsman] buy.bitdefender.com:5985
[wsmans] buy.bitdefender.com:5986
[wsm-server] buy.bitdefender.com:5006
[wsm-server-ssl] buy.bitdefender.com:5007
