[cddbp-alt] beatthedrop.betfair.es:8880
[https] uk-api.betfair.es:443
[https] upload.betfair.es:443
[http] support.betfair.es:80
[https] usp.betfair.es:443
[https] videoplayer.betfair.es:443
[https] vqa.betfair.es:443
[https] was.betfair.es:443
[https] wss.betfair.es:443
[https] www.betfair.es:443
[http] t.mail.betfair.es:80
[http] uk-api.betfair.es:80
[http] upload.betfair.es:80
[http] usp.betfair.es:80
[http] videoplayer.betfair.es:80
[http] vqa.betfair.es:80
[http] was.betfair.es:80
[http] wss.betfair.es:80
[http] www.betfair.es:80
[infowave] beatthedrop.betfair.es:2082
[infowave] betfair.es:2082
[radsec] betfair.es:2083
