[ansoft-lm-2] pbs-gc.twimg.com:1084
[https] P.twimg.com:443
[https] r.twimg.com:443
[https] sa-bs-o.twimg.com:443
[https] star.twimg.com:443
[https] syndication-o.twimg.com:443
[https] syndication.twimg.com:443
[http] star.twimg.com:80
[https] test.twimg.com:443
[https] t.lv.twimg.com:443
[https] ton-0.twimg.com:443
[https] ton-ak.twimg.com:443
[https] ton-ec.twimg.com:443
[https] ton-ft.twimg.com:443
[https] ton-o-ak.twimg.com:443
[https] ton-o-ec.twimg.com:443
[https] ton-o-ft.twimg.com:443
[https] ton-o.twimg.com:443
[https] ton.twimg.com:443
[https] ton-zero.twimg.com:443
[https] ttc.twimg.com:443
[https] tweet.twimg.com:443
[https] twitter.twimg.com:443
[https] video-0.twimg.com:443
[https] video-ak.twimg.com:443
[https] video-eb.twimg.com:443
[https] video-ec.twimg.com:443
[https] video-ft.twimg.com:443
[https] video-o-ak.twimg.com:443
[https] video-o-ec.twimg.com:443
[https] video-o-ft.twimg.com:443
[https] video-o.twimg.com:443
[https] video-staging.twimg.com:443
[https] video-t-1.twimg.com:443
[https] video-t-2.twimg.com:443
[https] video-t-3.twimg.com:443
[https] video-t-4.twimg.com:443
[https] video-t-5.twimg.com:443
[https] video.twimg.com:443
[https] video-zero.twimg.com:443
[https] wildcard.twimg.com:443
[http] syndication-o.twimg.com:80
[http] syndication.twimg.com:80
[https] zero.twimg.com:443
[http] test.twimg.com:80
[http] t.lv.twimg.com:80
[http] ton-0.twimg.com:80
[http] ton-ak.twimg.com:80
[http] ton-ec.twimg.com:80
[http] ton-ft.twimg.com:80
[http] ton-o-ak.twimg.com:80
[http] ton-o-ec.twimg.com:80
[http] ton-o-ft.twimg.com:80
[http] ton-o.twimg.com:80
[http] ton.twimg.com:80
[http] ton-zero.twimg.com:80
[http] ttc.twimg.com:80
[http] tweet.twimg.com:80
[http] twitter.twimg.com:80
[http] video-0.twimg.com:80
[http] video-ak.twimg.com:80
[http] video-eb.twimg.com:80
[http] video-ec.twimg.com:80
[http] video-ft.twimg.com:80
[http] video-o-ak.twimg.com:80
[http] video-o-ec.twimg.com:80
[http] video-o-ft.twimg.com:80
[http] video-o.twimg.com:80
[http] video-staging.twimg.com:80
[http] video-t-1.twimg.com:80
[http] video-t-2.twimg.com:80
[http] video-t-3.twimg.com:80
[http] video-t-4.twimg.com:80
[http] video-t-5.twimg.com:80
[http] video.twimg.com:80
[http] video-zero.twimg.com:80
[http] wildcard.twimg.com:80
[http] zero.twimg.com:80
[ies-lm] pbs-gc.twimg.com:1443
[imap] pbs-gc.twimg.com:143
[imaps] pbs-gc.twimg.com:993
[jetdirect] pbs-gc.twimg.com:9100
[mit-ml-dev] pbs-gc.twimg.com:83
[mit-ml-dev] pbs-gc.twimg.com:85
[ms-wbt-server] pbs-gc.twimg.com:3389
[ncd-conf] pbs-gc.twimg.com:5999
[ndmps] pbs-gc.twimg.com:30000
[opsmessaging] pbs-gc.twimg.com:8090
[pop3] pbs-gc.twimg.com:110
[pop3s] pbs-gc.twimg.com:995
[postgresql] pbs-gc.twimg.com:5432
[radan-http] pbs-gc.twimg.com:8088
[rtmp] pbs-gc.twimg.com:1935
[smtp] pbs-gc.twimg.com:25
[smtps] pbs-gc.twimg.com:465
[submission] pbs-gc.twimg.com:587
[su-mit-tg] pbs-gc.twimg.com:89
[unknown] pbs-gc.twimg.com:8085
[unknown] pbs-gc.twimg.com:8089
[unknown] pbs-gc.twimg.com:8099
[vnc-1] pbs-gc.twimg.com:5901
[vnc] pbs-gc.twimg.com:5900
[wap-wsp] pbs-gc.twimg.com:9200
[webobjects] pbs-gc.twimg.com:1085
[whois] pbs-gc.twimg.com:43
[xmpp-client] pbs-gc.twimg.com:5222
