[cddbp-alt] betfair.se:8880
[https-alt] gfe.betfair.se:8443
[https-alt] gmd.betfair.se:8443
[https-alt] graphs.betfair.se:8443
[https-alt] grouting.betfair.se:8443
[https-alt] identitysso.betfair.se:8443
[https-alt] ips.betfair.se:8443
[https-alt] launcher.betfair.se:8443
[https-alt] lbr.betfair.se:8443
[https-alt] maintenance.betfair.se:8443
[https-alt] messaging.betfair.se:8443
[https-alt] myacc.betfair.se:8443
[https-alt] myaccount.betfair.se:8443
[https-alt] myactivity.betfair.se:8443
[https-alt] myfunds.betfair.se:8443
[https-alt] mypromos.betfair.se:8443
[https-alt] play.betfair.se:8443
[https-alt] playerprotection.betfair.se:8443
[https-alt] promotions.betfair.se:8443
[https-alt] push-subscription.betfair.se:8443
[https-alt] register.betfair.se:8443
[https-alt] sco.betfair.se:8443
[https-alt] sib.betfair.se:8443
[https-alt] smd.betfair.se:8443
[https-alt] smp.betfair.se:8443
[https-alt] spb.betfair.se:8443
[https-alt] sportsgaming.betfair.se:8443
[https-alt] ssc.betfair.se:8443
[https-alt] strands.betfair.se:8443
[https-alt] support.betfair.se:8443
[https-alt] videoplayer.betfair.se:8443
[https-alt] vqa.betfair.se:8443
[https-alt] was.betfair.se:8443
[https-alt] wss.betfair.se:8443
[https-alt] www.betfair.se:8443
[https] apieds.betfair.se:443
[https] apiems.betfair.se:443
[https] apiemsios.betfair.se:443
[https] apismx.betfair.se:443
[https] apismxios.betfair.se:443
[https] arcade.betfair.se:443
[https] assets.betfair.se:443
[https] beatthedrop.betfair.se:443
[https] betfair.se:443
[https] cashout-exchange.betfair.se:443
[https] cashout-service.betfair.se:443
[https] casino.betfair.se:443
[https] cbs.betfair.se:443
[https] ccc.betfair.se:443
[http] sco.betfair.se:80
[https] cro.betfair.se:443
[https] ero.betfair.se:443
[https] etx.betfair.se:443
[https] exchangegaming.betfair.se:443
[https] fcq.betfair.se:443
[https] fcq-service.betfair.se:443
[https] gfe.betfair.se:443
[https] gmd.betfair.se:443
[https] graphs.betfair.se:443
[https] grouting.betfair.se:443
[http] sib.betfair.se:80
[https] identitysso.betfair.se:443
[https] identitysso-cert.betfair.se:443
[https] ie1-account-messaging.betfair.se:443
[https] ie1-apiems.betfair.se:443
[https] ie1-graphs.betfair.se:443
[https] ie1-promotions.betfair.se:443
[https] ie1-smd.betfair.se:443
[https] ie2-account-messaging.betfair.se:443
[https] ie2-apiems.betfair.se:443
[https] ie2-graphs.betfair.se:443
[https] ie2-promotions.betfair.se:443
[https] ie2-smd.betfair.se:443
[http] simulator.betfair.se:80
[https] ips.betfair.se:443
[https] launcher.betfair.se:443
[https] lbr.betfair.se:443
[https] maintenance.betfair.se:443
[https] mcasino.betfair.se:443
[http] smd.betfair.se:80
[https] messaging.betfair.se:443
[https] m.mail.betfair.se:443
[http] smp.betfair.se:80
[https] myacc.betfair.se:443
[https] myaccount.betfair.se:443
[https] myactivity.betfair.se:443
[https] mycards.betfair.se:443
[https] myfunds.betfair.se:443
[https] mypromos.betfair.se:443
[http] spb.betfair.se:80
[http] splash.betfair.se:80
[https] play.betfair.se:443
[https] playerprotection.betfair.se:443
[http] sportsgaming.betfair.se:80
[https] promotions.betfair.se:443
[https] push-subscription.betfair.se:443
[https] register.betfair.se:443
[http] ssc.betfair.se:80
[https] sco.betfair.se:443
[https] sib.betfair.se:443
[https] simulator.betfair.se:443
[https] smd.betfair.se:443
[https] smp.betfair.se:443
[https] spb.betfair.se:443
[https] splash.betfair.se:443
[https] sportsgaming.betfair.se:443
[https] ssc.betfair.se:443
[https] strands.betfair.se:443
[https] support.betfair.se:443
[https] t.mail.betfair.se:443
[http] strands.betfair.se:80
[http] support.betfair.se:80
[https] videoplayer.betfair.se:443
[https] vqa.betfair.se:443
[https] was.betfair.se:443
[https] wss.betfair.se:443
[https] www.betfair.se:443
[http] t.mail.betfair.se:80
[http] videoplayer.betfair.se:80
[http] vqa.betfair.se:80
[http] was.betfair.se:80
[http] wss.betfair.se:80
[http] www.betfair.se:80
[infowave] betfair.se:2082
