[cddbp-alt] help.invest.goldman.com:8880
[http] www.pilot.invest.goldman.com:80
[http] www.pilot.uat.invest.goldman.com:80
[http] www.sports.goldman.com:80
[http] www.uat.invest.goldman.com:80
[http] www.wealth.goldman.com:80
[infowave] help.invest.goldman.com:2082
[ppp] goldman.com:3000
[radsec] help.invest.goldman.com:2083
[rsync] goldman.com:873
[sip] api.xs2a.goldman.com:5060
[sip] auth.xs2a.goldman.com:5060
[sip] developer.xs2a.goldman.com:5060
[sip] sandbox.xs2a.goldman.com:5060
